P35128	UBE2N_DROME	reviewed	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme N) (Protein bendless) (Ubiquitin carrier protein N) (Ubiquitin-conjugating enzyme E2-17 kDa) (Ubiquitin-protein ligase D3) (Ubiquitin-protein ligase N)	ben UbcD3 CG18319	Drosophila melanogaster (Fruit fly)	151
P0C6Y2	R1AB_IBVBC	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p68); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14) (p58); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p39); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16) (p35)]	rep 1a-1b	Avian infectious bronchitis virus (strain Beaudette CK) (IBV)	6629
P0C6Y5	R1AB_CVPPU	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p41); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	6684
P0C6W9	R1AB_CVBM	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bovine coronavirus (strain Mebus) (BCoV) (BCV)	7094
P0DTD1	R1AB_SARS2	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (Leader protein) (Non-structural protein 1) (nsp1); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (Non-structural protein 12) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (Non-structural protein 13) (nsp13); Proofreading exoribonuclease (ExoN) (EC 3.1.13.-) (Guanine-N7 methyltransferase) (Non-structural protein 14) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (Non-structural protein 15) (nsp15); 2'-O-methyltransferase (EC 2.1.1.-) (Non-structural protein 16) (nsp16)]	rep 1a-1b	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	7096
P59595	NCAP_CVHSA	reviewed	Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	N 9a	Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus)	422
P0C6W4	R1AB_BCHK5	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bat coronavirus HKU5 (BtCoV) (BtCoV/HKU5/2004)	7182
P0C6W7	R1AB_CVBEN	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	7094
P0C6Y1	R1AB_IBVB	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p68); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14) (p58); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p39); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16) (p35)]	rep 1a-1b	Avian infectious bronchitis virus (strain Beaudette) (IBV)	6629
P0C6X6	R1AB_CVHOC	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Human coronavirus OC43 (HCoV-OC43)	7095
P0C6W5	R1AB_BCHK9	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bat coronavirus HKU9 (BtCoV) (BtCoV/HKU9)	6930
P0C6X7	R1AB_CVHSA	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (Leader protein) (Non-structural protein 1) (nsp1); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.69) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (Main protease) (Mpro) (Non-structural protein 5) (nsp5) (SARS coronavirus main proteinase); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (Non-structural protein 12) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (Non-structural protein 13) (nsp13); Proofreading exoribonuclease (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (Guanine-N7 methyltransferase) (Non-structural protein 14) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (Non-structural protein 15) (nsp15); 2'-O-methyltransferase (EC 2.1.1.-) (Non-structural protein 16) (nsp16)]	rep 1a-1b	Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus)	7073
P0C6X8	R1AB_CVM2	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Murine coronavirus (strain 2) (MHV-2) (Murine hepatitis virus)	7124
P0C6W6	R1AB_BCRP3	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bat coronavirus Rp3/2004 (BtCoV/Rp3/2004) (SARS-like coronavirus Rp3)	7071
P0C6W1	R1AB_BC133	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bat coronavirus 133/2005 (BtCoV) (BtCoV/133/2005)	7126
P0C6W0	R1AB_BC512	reviewed	Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)]	rep 1a-1b	Bat coronavirus 512/2005 (BtCoV) (BtCoV/512/2005)	6793
G3E7W8	G3E7W8_PELNI	unreviewed	Ranatuerin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	59
G3E7U1	G3E7U1_PELNI	unreviewed	Nigrocin-3N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	47
G3E7W0	G3E7W0_PELNI	unreviewed	Nigrocin-7N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	53
G3E7P5	G3E7P5_PELNI	unreviewed	Brevinin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	60
G3E7Q0	G3E7Q0_PELNI	unreviewed	Brevinin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	60
G3E7S7	G3E7S7_PELNI	unreviewed	Esculentin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	66
G3E7X5	G3E7X5_PELNI	unreviewed	Ranatuerin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	60
G3E7T1	G3E7T1_PELNI	unreviewed	Esculentin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	66
G3E7W4	G3E7W4_PELNI	unreviewed	Ranacyclin-N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	49
G3E7R3	G3E7R3_PELNI	unreviewed	Esculentin-1N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	70
G3E7V2	G3E7V2_PELNI	unreviewed	Nigrocin-6N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	59
G3E7V4	G3E7V4_PELNI	unreviewed	Nigrocin-6N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	59
G3E7Q9	G3E7Q9_PELNI	unreviewed	Esculentin-1N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	70
G3E7U5	G3E7U5_PELNI	unreviewed	Nigrocin-5N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	50
G3E7R6	G3E7R6_PELNI	unreviewed	Esculentin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	66
G3E7V8	G3E7V8_PELNI	unreviewed	Nigrocin-7N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	51
G3E7W1	G3E7W1_PELNI	unreviewed	Nigrocin-7N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	52
G3E7S9	G3E7S9_PELNI	unreviewed	Esculentin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	65
G3E7R4	G3E7R4_PELNI	unreviewed	Esculentin-1N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	70
G3E7P7	G3E7P7_PELNI	unreviewed	Brevinin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	59
G3E7W9	G3E7W9_PELNI	unreviewed	Ranatuerin-2N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	58
G3E7W2	G3E7W2_PELNI	unreviewed	Ranacyclin-N protein (Fragment)		Pelophylax nigromaculatus (Black-spotted frog) (Rana nigromaculata)	49
